,658,690,637,XLK,SHV,700,704,QQQ,IEI,LQD,GLD,127,143,603,702,712,170,OIL,701
,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,closingIndexPrice
2014-10-28,342.68,387.12,243.64,35.16753387451172,95.95906829833984,440.22,556.07,92.79297637939453,105.28656768798828,86.92140197753906,118.0999984741211,1912.49,877.99,299.78,321.68,317.89,1324.81,36.830101013183594,279.85
2014-10-29,342.86,386.75,243.64,35.13223648071289,95.95036315917969,439.73,554.92,92.45023345947266,104.92638397216797,86.76141357421875,116.41000366210938,1905.04,875.94,299.63,321.62,317.58,1319.06,37.21659851074219,279.81
2014-10-30,343.26,386.63,243.74,35.24700927734375,95.94168853759766,439.56,554.56,92.64478302001953,105.02073669433594,86.81961059570312,115.19000244140625,1888.87,863.26,299.52,321.62,317.32,1302.32,36.74190139770508,279.83
2014-10-31,,,,35.79442596435547,95.95036315917969,,,93.92301177978516,104.92638397216797,86.80504608154297,112.66000366210938,,,,,,,36.41999816894531,
2014-11-02,343.4,386.53,243.92,,,439.44,554.31,,,,,1890.68,876.76,299.96,321.65,317.59,1308.08,,279.82
2014-11-03,342.75,386.39,243.9,35.94453811645508,95.94168853759766,439.24,553.94,94.20086669921875,104.83796691894531,86.63360595703125,112.1500015258789,1878.12,875.72,300.36,321.64,318.14,1297.02,35.92300033569336,279.87
2014-11-04,342.93,386.69,243.89,35.935707092285156,95.95036315917969,439.65,555.06,93.88595581054688,104.83796691894531,86.7575912475586,112.22000122070312,1876.58,876.42,300.51,321.54,318.3,1299.43,35.18870162963867,279.82
2014-11-05,342.02,386.51,243.75,36.0328254699707,95.95036315917969,439.39,554.49,93.89520263671875,104.8465576171875,86.59712982177734,109.79000091552734,1878.75,873.85,300.44,321.48,318.32,1294.84,35.63990020751953,279.86
2014-11-06,341.66,386.74,243.67,36.01516342163086,95.94168853759766,439.69,555.11,94.19161987304688,104.70919799804688,86.33454895019531,109.87999725341797,1889.61,867.97,300.47,321.55,318.57,1298.71,35.45140075683594,279.89
2014-11-07,,,,36.0593147277832,95.94168853759766,,,94.10826873779297,105.0783462524414,86.8816146850586,112.97000122070312,,,,,,,35.77859878540039,
